K,Average User Time (s),Average Memory (KB),Passes
1,0.0,3780.0,2
2,0.0,3744.0,2
3,0.0,3802.4,2
4,0.0,3821.6,2
5,0.0,3845.6,2
6,0.0,3820.8,2
7,0.0,3841.6,2
8,0.0,3857.6,2
9,0.0,3876.0,2
10,0.0,3916.0,2
