K,Time (s),Memory (MB),Passes
1,153.1,137.80,309
2,88.51,159.80,107
3,22.84,199.79,8
4,0.78,219.50,2
5,1.05,219.49,2
6,0.84,219.66,2
7,1.07,219.53,2
8,0.85,219.58,2
9,1.03,219.57,2
10,0.81,219.57,2
