K,Time (s),Memory (MB),Passes
1,21.2,244.45,4
2,6.9,196.99,3
3,0.28,64.86,1
4,0.28,64.86,1
5,0.28,64.86,1
6,0.28,64.86,1
7,0.28,64.86,1
8,0.28,64.86,1
9,0.28,64.86,1
10,0.28,64.86,1
