K,Time (s),Memory (KB),Passes
1,49.99,67748.0,229
2,13.41,72932.0,26
3,3.28,87892.0,4
4,5.36,105368.0,3
5,0.16,37576.0,1
6,0.19,37724.0,1
7,0.16,37740.0,1
8,0.18,37748.0,1
9,0.18,37628.0,1
10,0.18,37748.0,1
