K,Iteration,User Time (s),Memory (KB),Passes
8,1,0.41,136024.0,1
8,2,0.64,135960.0,1
8,3,0.35,135924.0,1
8,4,0.68,135976.0,1
8,5,0.38,136020.0,1
8,6,0.67,135940.0,1
8,7,0.45,136028.0,1
8,8,0.35,135932.0,1
8,9,0.38,135952.0,1
8,10,0.38,136028.0,1
8,11,0.37,136088.0,1
8,12,0.37,136020.0,1
8,13,0.35,136012.0,1
8,14,0.37,136100.0,1
8,15,0.39,135936.0,1
8,16,0.37,136112.0,1
8,17,0.35,136004.0,1
8,18,0.37,136100.0,1
8,19,0.39,136016.0,1
8,20,0.39,135972.0,1
8,21,0.36,136020.0,1
8,22,0.41,135968.0,1
8,23,0.37,136000.0,1
8,24,0.34,136000.0,1
8,25,0.36,136060.0,1
8,26,0.35,136044.0,1
8,27,0.38,135988.0,1
8,28,0.37,136088.0,1
8,29,0.38,136088.0,1
8,30,0.4,136016.0,1
8,31,0.41,136012.0,1
8,32,0.39,135928.0,1
8,33,0.42,135984.0,1
8,34,0.4,135936.0,1
8,35,0.38,136064.0,1
8,36,0.44,136076.0,1
8,37,0.42,136084.0,1
8,38,0.43,135932.0,1
8,39,0.38,135876.0,1
8,40,0.42,135972.0,1
8,41,0.4,136020.0,1
8,42,0.32,136020.0,1
8,43,0.34,136108.0,1
8,44,0.45,135924.0,1
8,45,0.37,136064.0,1
8,46,0.41,136056.0,1
8,47,0.42,136092.0,1
8,48,0.4,135968.0,1
8,49,0.4,136108.0,1
8,50,0.42,135940.0,1
