K,Time (s),Memory (MB),Passes
1,0.01,3.63,17
2,0.01,3.65,10
3,0.0,3.75,7
4,0.0,3.68,5
5,0.0,3.82,4
6,0.0,3.91,3
7,0.0,3.92,3
8,0.0,3.89,2
9,0.0,3.91,2
10,0.0,3.97,2
