K,Time (s),Memory (MB),Passes
1,0.0,3.90,5
2,0.0,3.97,4
3,0.0,3.86,3
4,0.0,3.77,3
5,0.0,3.74,2
6,0.0,3.91,2
7,0.0,3.75,2
8,0.0,3.89,2
9,0.0,3.88,2
10,0.0,3.90,1
