K,Time (s),Memory (MB),Passes
1,0.01,3.74,19
2,0.01,3.77,16
3,0.01,3.65,10
4,0.0,3.69,7
5,0.0,3.69,5
6,0.0,3.71,5
7,0.0,3.70,4
8,0.0,3.75,3
9,0.0,3.86,3
10,0.0,3.92,3
