K,Time (s),Memory (MB),Passes
1,0.01,3.60,21
2,0.01,3.63,16
3,0.01,3.64,9
4,0.0,3.74,7
5,0.0,3.70,5
6,0.0,3.83,4
7,0.0,3.91,3
8,0.0,3.94,3
9,0.0,3.77,2
10,0.0,3.90,2
