K,Average User Time (s),Average Memory (KB),Passes
1,28.5874,56788.48,35
2,14.8956,65143.04,15
3,13.2716,77747.36,11
4,7.1626,90353.28,6
5,6.2522,100055.36,5
6,5.8026,107625.04,4
7,5.3598,115232.88,5
8,3.938,127841.44,3
9,4.421,137017.52,3
10,5.3072,146481.76,3
